"","X","X.1","Jan","Feb","Mar","Apr","May","June","July","Aug","Sep","Oct","Nov","Dec","Q1","Q2","Q3","Q4","Jan.Dec","Budget.2020","X.2","Actual.as...of.Budget"
"14","Transfers #",NA,160.9,321.4,329.6,459.7,307.3,180,630.1,328.9,344.7,350.8,283.6,1189.9,812,946.9,1303.7,1824.4,4887,5110.3,NA,"96%"
"15","Minor capital #",NA,0,0.2,0.3,7.8,4,11,2.2,7.7,15.1,12.3,15.2,16.9,0.6,22.8,25,44.4,92.8,80.2,NA,"116%"
"16","Interest",NA,18.1,5.6,1.8,25.7,14.1,14.5,17,29.1,21.4,10.1,23.2,11.9,25.5,54.3,67.5,45.1,192.4,372.1,NA,"52%"
"17","Domestic",NA,18.1,5.6,0.7,22.9,11.9,12.4,17,23.9,17.7,10.1,21.4,9.8,24.3,47.2,58.6,41.3,171.5,NA,NA,""
"18","External",NA,0,0,1.1,2.8,2.2,2.1,0,5.2,3.7,0,1.8,2,1.1,7.1,8.9,3.8,21,NA,NA,""
"19","Net lending  (3)",NA,106.7,123.2,94.6,86.4,-0.2,-15.4,-9,-17.1,-5.3,-12.7,-11.5,826.8,324.5,70.8,-31.3,802.7,1166.7,900,NA,"130%"
"20","Earmarked Payments (1)",NA,109.2,30.2,10.8,0.6,11.6,27.1,15.3,26.3,32.8,31,22.5,18.3,150.3,39.3,74.4,71.8,335.8,126,NA,"267%"
"21","Property Tax",NA,87.4,16.4,2.2,0.1,0.9,3,1.4,2.4,6.7,3.3,3.8,2.7,106,3.9,10.6,9.8,130.3,NA,NA,""
"22","Transportation Fees",NA,12.5,12.1,6.7,0.2,9.6,18.9,10.3,15.8,15.5,14.1,15.7,14.1,31.4,28.7,41.5,43.9,145.4,NA,NA,""
"23","others",NA,9.3,1.7,1.9,0.3,1.2,5.2,3.7,8.1,10.6,13.6,3,1.5,12.9,6.7,22.4,18.1,60.1,NA,NA,""
"24","Current Balance",NA,254.4,2.3,-249.2,-529.5,-268.4,-221.1,-644.1,-187.7,-144.4,-232.2,-193.6,-2248.2,7.6,-1019,-976.2,-2674,-4661.6,-8029,NA,""
"25","Development Expenditure",NA,6.3,65.3,76.4,46.9,46.9,83,79,72.3,93.8,92.3,108.4,182,148,176.8,245.1,382.7,952.6,1400,NA,"68%"
"26","Balance",NA,248.1,-63,-325.5,-576.4,-315.3,-304,-723.1,-260,-238.2,-324.5,-302,-2430.2,-140.4,-1195.8,-1221.3,-3056.7,-5614.2,-9429,NA,""
"27","Financing",NA,-248.1,63,325.5,576.4,315.3,304,723.1,260,238.2,324.5,302,2430.2,140.4,1195.8,1221.3,3056.7,5614.2,NA,NA,""
"28","External Budgetary Support",NA,0,138.4,108.1,194.3,282.7,67.4,102.6,78.7,96.5,41,37,73.3,246.5,544.3,277.8,151.3,1219.9,1509,NA,"81%"
"29","Development Financing",NA,6.1,13.1,19.4,56.7,46.2,51.2,17.5,53.6,50,31.7,39,67.5,38.6,154.1,121.2,138.2,452.1,720,NA,"63%"
"30","Net Domestic Bank Financing (4)",NA,-393.1,-109.4,36.9,-292.2,-91.5,-189.7,1054.2,-159.7,741.6,-150.8,450,999.1,-465.6,-573.4,1636.1,1298.3,1895.4,2160,NA,"88%"
"31","Expenditure Arrears (Net Accumulation) (5)",NA,225.5,155.1,153.2,169.2,838.3,949.2,179.7,1061.4,228.3,1184.3,642,-2231.9,533.9,1956.7,1469.4,-405.6,3554.4,1440,NA,"247%"
"32","Clearance Revenue Withheld (6)",NA,41.9,41.9,-76.6,-500.2,658.3,476.3,569,684.3,706,684.3,767.5,-4003.6,7.2,634.4,1959.2,-2551.8,49,NA,NA,""
"33","Tax Refunds  (Arrears)",NA,2.9,0.5,27.5,0,3.5,-7.8,0,8.7,5,3.5,2.6,57.7,30.9,-4.3,13.8,63.8,104.2,NA,NA,""
"34","G&S and Dev. Arrears Payments  (stock) (7",NA,-46.9,-98.5,-94.3,-50.5,-101.9,-94.3,-65.6,-99.7,-178.8,-98.5,-101.8,-531.5,-239.7,-246.7,-344.1,-731.8,-1562.4,-1440,NA,"108%"
"35","Residual",NA,-0.7,5.7,-1.9,-1.2,-3.8,4.4,3.6,1.2,1.6,-2.5,0.7,-7.6,3.1,-0.6,6.4,-9.4,-0.4,NA,NA,""
"36","Budget Exchange Rate (NIS/USD)",NA,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,NA,NA,""
"37","Actual Exchange Rate (NIS/USD)",NA,3.46,3.44,3.54,3.54,3.51,3.45,3.42,3.37,3.43,3.39,3.35,3.25,3.48,3.5,3.41,3.33,3.43,NA,NA,""
