"","X","X.1","X.2","X.3","X.4","X.5","X.6","X.7","X.8","X.9","X.10","X.11","X.12","X.13","X.14","X.15","X.16","Actual.as"
"30","Civil Registration Fees","0.5","0.7","0.2","0.0","0.1","0.3","1.0","0.6","0.9","0.0","0.9","1.5","0.4","2.4","5.2","",""
"31","Health Fees","8.8","7.9","6.5","4.1","4.3","9.1","6.0","8.4","8.9","8.5","9.5","23.2","17.6","23.2","82.1","",""
"32","Health Insurance","30.8","20.3","16.0","13.7","6.2","4.5","39.5","4.0","28.2","14.9","14.7","67.0","24.4","71.7","192.7","",""
"33","Transportation","12.5","12.1","6.7","0.2","9.5","18.9","10.3","15.8","15.5","14.1","15.5","31.4","28.6","41.5","131.1","",""
"34","Local Government","0.4","0.6","0.3","0.0","0.2","0.4","0.3","0.5","0.5","0.5","0.5","1.3","0.6","1.4","4.1","",""
"35","Ministry of Economy","1.3","1.3","0.8","0.1","0.4","1.1","0.6","0.9","1.3","1.0","1.0","3.4","1.6","2.8","9.8","",""
"36","Shari'a Courts Fees","0.5","0.4","0.2","0.0","0.2","0.5","0.3","0.5","0.6","0.5","0.5","1.1","0.7","1.4","4.2","",""
"37","Land Registration","6.1","8.8","4.6","0.3","3.2","9.7","6.3","10.1","13.9","10.9","11.3","19.5","13.1","30.3","85.1","",""
"38","Ministry of Housing","0.0","1.4","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.4","0.0","0.0","1.4","",""
"39","Agriculture Services","0.4","0.5","0.5","0.4","0.4","0.6","0.3","0.4","0.5","0.5","0.5","1.4","1.5","1.2","5.1","",""
"40","Tourist Fees","0.3","0.3","0.1","0.0","0.0","0.1","0.0","0.1","0.1","0.1","0.1","0.8","0.1","0.2","1.3","",""
"41","Telecommunication Fees","5.9","5.4","2.3","0.0","0.5","2.0","1.8","2.1","2.2","2.2","2.6","13.5","2.6","6.1","27.0","",""
"42","Ministry of Education","1.6","1.1","0.3","0.1","0.1","0.3","1.9","1.1","2.4","2.7","3.2","3.0","0.5","5.4","14.8","",""
"43","High Court of Justice Fees","5.2","5.2","2.3","0.2","1.5","4.0","1.9","3.8","4.9","5.0","5.1","12.8","5.8","10.6","39.3","",""
"44","Foreign Affairs","0.1","0.1","0.1","0.0","0.0","0.1","0.1","0.2","0.2","0.1","0.1","0.3","0.1","0.5","1.2","",""
"45","Licenses","0.3","0.3","0.3","0.1","0.2","0.3","2.1","32.8","125.7","48.0","0.5","0.9","0.5","160.6","210.6","",""
"46","Others","37.0","30.0","45.3","0.7","12.1","3.1","2.9","2.6","3.9","5.5","4.1","112.2","15.9","9.4","147.1","",""
"47","Training fees","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","",""
"48","2.  Investments Profits","0.5","40.6","0.1","0.0","0.3","0.0","0.2","0.0","0.0","52.9","0.0","41.2","0.3","0.2","94.7","",""
