"","X","X.1","Actual.as.Jan.Feb","Mar","Apr","May","June","July","Aug","Sep","Oct","Nov","Q1","Q2","Q3","Jan.Nov","Budget","X.2"
"38","G&S and Dev. Arrears Payments  (stock) (5)","","-46.9 -98.5",-94.3,-50.5,-101.9,-94.3,-65.6,-99.7,-178.8,-98.5,-101.8,-239.7,-246.7,-344.1,-1030.9,-1440,"72%"
"39","Residual","","-0.7 5.7",-1.9,-1.2,-6.2,4.4,3.6,1.2,1.6,-2.5,0.7,3.1,-3,6.4,4.7,NA,""
"40","Memorandum Items:","Dec 2019","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"41","Previous years arrears","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"42","Total stock of arrears of previous years","4516.5","4469.6 4371.1",4276.8,4226.3,4124.4,4030.1,3964.5,3864.7,3685.9,3587.4,3485.6,NA,NA,NA,NA,NA,""
"43","of which : Private sector","2106.2","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"44","Other","2410.4","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"45","Repayment of previous years' arrears","","46.9 98.5",94.3,50.5,101.9,94.3,65.6,99.7,178.8,98.5,101.8,NA,NA,NA,NA,NA,""
"46","Private sector","","31.9 84.3",72.7,39.6,97.1,69.4,61,79.6,128.1,28.1,94.6,NA,NA,NA,NA,NA,""
"47","Government Promisary Note (6)","","15.0 10.0",19.7,10.8,0,23,0,15.3,23.4,65.3,1.6,NA,NA,NA,NA,NA,""
"48","Other","","0.0 4.2",1.9,0.1,4.8,1.9,4.6,4.9,27.3,5.1,5.6,NA,NA,NA,NA,NA,""
"49","Currnent Year arrears","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"50","Total new Arrears for the month 2020","","228.4 155.6",180.8,169.2,841.8,941.4,179.8,1070.1,233.3,1187.9,644.6,NA,NA,NA,NA,NA,""
"51","Private sector","","3.13 69.54",85.73,52.93,127.06,189.91,89.41,173.69,216.4,283.02,283.98,NA,NA,NA,NA,NA,""
"52","Other","","225.31 86.03",95.05,116.27,714.76,751.49,90.34,896.43,16.86,904.87,360.61,NA,NA,NA,NA,NA,""
"53","Net Total Arrears accumulated 2020","","228.4 384.0",564.8,734,1575.8,2517.2,2697,3767.1,4000.4,5188.2,5832.8,NA,NA,NA,NA,NA,""
"54","Private sector","","3.1 72.7",158.4,211.3,338.4,528.3,617.7,791.4,1007.8,1290.8,1574.8,NA,NA,NA,NA,NA,""
"55","Other","","225.3 311.3",406.4,522.7,1237.4,1988.9,2079.2,2975.7,2992.5,3897.4,4258,NA,NA,NA,NA,NA,""
"56","Total Arrears accumulated 2020","","4698.0 4755.1",4841.6,4960.3,5700.2,6547.3,6661.4,7631.8,7686.3,8775.6,9318.4,NA,NA,NA,NA,NA,""
"57","Budget Exchange Rate (NIS/USD)","","3.60 3.60",3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,NA,""
"58","Actual Exchange Rate (NIS/USD)","","3.46 3.44",3.54,3.54,3.51,3.45,3.42,3.37,3.43,3.39,3.35,3.48,3.5,3.41,3.46,NA,""
