"","X","X.1","Actual.as.Jan.Feb","Mar","Apr","May","June","July","Aug","Sep","Oct","Nov","Dec","Q1","Q2","Q3","Q4","Jan.Dec","Budget","X.2"
"21","Minor capital (arrears)","","0.0 0.2",0.3,7.7,0.5,6.2,0.9,7.5,14.3,11.6,7.3,7.7,0.6,14.4,22.7,26.7,64.3,NA,""
"22","Interest (arrears)","","5.8 0.0",-0.9,19,-6.7,7.2,9.3,10.8,9.8,1.4,11.2,-12.6,4.8,19.6,29.9,0,54.4,NA,""
"23","Domestic (arrears)","","5.8 0.0",-1,16.2,3.9,5.1,9.3,9.8,10.7,2.5,9.4,-9,4.8,25.2,29.8,2.9,62.7,NA,""
"24","External (arrears)","","0.0 0.0",0,2.8,-10.6,2.1,0,1.1,-1,-1,1.8,-3.6,0,-5.7,0.1,-2.8,-8.4,NA,""
"25","Net lending (arrears) (3)","","0.0 0.0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,""
"26","Earmarked Payments (Arrears) (1)","","109.2 -6.9",-5.2,0.1,-2.1,10.1,-1,21.7,26.4,10.1,7.3,-16,97.1,8.1,47.1,1.4,153.7,NA,""
"27","Current Balance (Commitment Basis)","","254.4 2.3",-249.2,-529.5,-268.4,-221.1,-644.1,-187.7,-144.4,-232.2,-193.6,-2248.2,7.6,-1019,-976.2,-2674,-4661.6,-8029,"58%"
"28","Current Balance (Cash Basis)","","440.9 74.0",-22.4,123.4,-94.3,208.2,-1067.3,165.8,-662.7,229.3,-362.7,-464.7,492.6,237.3,-1564.3,-598.1,-1432.5,-8029,"18%"
"29","Development Expenditure (Commitment Basis)","","6.3 65.3",76.4,46.9,46.9,83,79,72.3,93.8,92.3,108.4,182,148,176.8,245.1,382.7,952.6,1400,"68%"
"30","Development Expenditure (Cash Basis)","","6.2 23.3",45.8,30.4,37.5,47.2,45,39.9,48.2,50.2,62.2,136.2,75.4,115.1,133.1,248.5,572.2,1400,"41%"
"31","Development Expenditure (Arrears)","","0.0 42.0",30.5,16.5,9.4,35.8,34,32.4,45.6,42.1,46.2,45.8,72.6,61.7,112,134.2,380.4,NA,""
"32","Balance (Commitment Basis)","","248.1 -63.0",-325.5,-576.4,-315.3,-304,-723.1,-260,-238.2,-324.5,-302,-2430.2,-140.4,-1195.8,-1221.3,-3056.7,-5614.2,-9429,"60%"
"33","Balance (Cash Basis)","","434.7 50.6",-68.2,92.9,-131.8,161.1,-1112.3,125.9,-710.9,179.1,-424.9,-600.9,417.1,122.2,-1697.4,-846.6,-2004.7,-9429,"21%"
"34","Financing","","-434.7 -50.6",68.2,-92.9,131.8,-161.1,1112.3,-125.9,710.9,-179.1,424.9,600.9,-417.1,-122.2,1697.4,846.6,2004.7,9429,"21%"
"35","External Budgetary Support","","0.0 138.4",108.1,194.3,282.7,67.4,102.6,78.7,96.5,41,37,73.3,246.5,544.3,277.8,151.3,1219.9,1509,"81%"
"36","Development Financing","","6.1 13.1",19.4,56.7,46.2,51.2,17.5,53.6,50,31.7,39,67.5,38.6,154.1,121.2,138.2,452.1,720,"63%"
"37","Net Domestic Bank Financing  (4)","","-393.1 -109.4",36.9,-292.2,-91.5,-189.7,1054.2,-159.7,741.6,-150.8,450,999.1,-465.6,-573.4,1636.1,1298.3,1895.4,2160,"88%"
"38","G&S and Dev. Arrears Payments  (stock) (5)","","-46.9 -98.5",-94.3,-50.5,-101.9,-94.3,-65.6,-99.7,-178.8,-98.5,-101.8,-531.5,-239.7,-246.7,-344.1,-731.8,-1562.4,-1440,"108%"
"39","Residual","","-0.7 5.7",-1.9,-1.2,-3.8,4.4,3.6,1.2,1.6,-2.5,0.7,-7.6,3.1,-0.6,6.4,-9.4,-0.4,NA,""
"40","Memorandum Items:","Dec 2019","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"41","Previous years arrears","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"42","Total stock of arrears of previous years","4516.5","4469.6 4371.1",4276.8,4226.3,4124.4,4030.1,3964.5,3864.7,3685.9,3587.4,3485.6,2954.1,NA,NA,NA,NA,NA,NA,""
"43","of which : Private sector","2106.2","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"44","Other","2410.4","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"45","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"46","Repayment of previous years' arrears","","46.9 98.5",94.3,50.5,101.9,94.3,65.6,99.7,178.8,98.5,101.8,531.5,NA,NA,NA,NA,NA,NA,""
"47","Private sector","","31.9 84.3",72.7,39.6,97.1,69.4,61,79.6,128.1,28.1,94.6,285.4,NA,NA,NA,NA,NA,NA,""
"48","Government Promisary Note (6)","","15.0 10.0",19.7,10.8,0,23,0,15.3,23.4,65.3,1.6,229.4,NA,NA,NA,NA,NA,NA,""
"49","Other","","0.0 4.2",1.9,0.1,4.8,1.9,4.6,4.9,27.3,5.1,5.6,16.8,NA,NA,NA,NA,NA,NA,""
"50","Currnent Year arrears","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"51","Total new Arrears for the month 2020","","228.4 155.6",180.7,169.2,841.8,941.4,179.8,1070.1,233.3,1187.9,644.6,-2174.2,NA,NA,NA,NA,NA,NA,""
"52","Private sector","","3.13 69.54",85.73,52.93,127.06,189.91,89.41,173.69,216.4,283.02,283.98,245.16,NA,NA,NA,NA,NA,NA,""
"53","Other","","225.31 86.03",95.01,116.27,714.76,751.49,90.34,896.43,16.86,904.87,360.61,-2419.4,NA,NA,NA,NA,NA,NA,""
"54","Net Total Arrears accumulated 2020","","228.4 384.0",564.7,734,1575.8,2517.2,2696.9,3767,4000.3,5188.2,5832.8,3658.6,NA,NA,NA,NA,NA,NA,""
"55","Private sector","","3.1 72.7",158.4,211.3,338.4,528.3,617.7,791.4,1007.8,1290.8,1574.8,1820,NA,NA,NA,NA,NA,NA,""
"56","Other","","225.3 311.3",406.3,522.6,1237.4,1988.9,2079.2,2975.6,2992.5,3897.4,4258,1838.6,NA,NA,NA,NA,NA,NA,""
"57","Total Arrears accumulated 2020","","4698.0 4755.1",4841.5,4960.2,5700.2,6547.3,6661.4,7631.8,7686.2,8775.6,9318.4,6612.7,NA,NA,NA,NA,NA,NA,""
"58","Budget Exchange Rate (NIS/USD)","","3.60 3.60",3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,NA,""
"59","Actual Exchange Rate (NIS/USD)","","3.46 3.44",3.54,3.54,3.51,3.45,3.42,3.37,3.43,3.39,3.35,3.25,3.48,3.5,3.41,3.33,3.43,NA,""
